"","n","m","poder_U1","poder_U2"
"1",10,10,0.1195,0.1195
"2",60,10,0.1225,0.13
"3",110,10,0.1135,0.106
"4",160,10,0.1595,0.136
"5",210,10,0.092,0.103
"6",260,10,0.1015,0.0905
"7",310,10,0.0935,0.096
"8",360,10,0.103,0.106
"9",410,10,0.1185,0.124
"10",460,10,0.106,0.1025
"11",510,10,0.1125,0.112
"12",560,10,0.1055,0.1125
"13",610,10,0.1135,0.097
"14",660,10,0.121,0.115
"15",710,10,0.1245,0.123
"16",760,10,0.111,0.106
"17",810,10,0.123,0.1255
"18",860,10,0.0895,0.09
"19",910,10,0.1225,0.1105
"20",960,10,0.13,0.1085
"21",1010,10,0.1145,0.106
"22",1060,10,0.106,0.094
"23",10,60,0.2525,0.2565
"24",60,60,0.306,0.306
"25",110,60,0.298,0.3
"26",160,60,0.2945,0.297
"27",210,60,0.297,0.2925
"28",260,60,0.313,0.3065
"29",310,60,0.3115,0.318
"30",360,60,0.2785,0.271
"31",410,60,0.296,0.2885
"32",460,60,0.3305,0.332
"33",510,60,0.335,0.321
"34",560,60,0.295,0.281
"35",610,60,0.294,0.291
"36",660,60,0.2885,0.286
"37",710,60,0.2715,0.268
"38",760,60,0.2875,0.277
"39",810,60,0.307,0.3045
"40",860,60,0.3155,0.313
"41",910,60,0.2935,0.2955
"42",960,60,0.2795,0.2705
"43",1010,60,0.295,0.2925
"44",1060,60,0.2865,0.29
"45",10,110,0.3885,0.396
"46",60,110,0.4455,0.45
"47",110,110,0.439,0.439
"48",160,110,0.484,0.488
"49",210,110,0.4065,0.4005
"50",260,110,0.444,0.435
"51",310,110,0.401,0.4075
"52",360,110,0.459,0.4495
"53",410,110,0.438,0.439
"54",460,110,0.4735,0.468
"55",510,110,0.427,0.4355
"56",560,110,0.394,0.3945
"57",610,110,0.4315,0.4315
"58",660,110,0.4095,0.41
"59",710,110,0.416,0.416
"60",760,110,0.4565,0.455
"61",810,110,0.4175,0.415
"62",860,110,0.4225,0.416
"63",910,110,0.467,0.4555
"64",960,110,0.4495,0.4415
"65",1010,110,0.426,0.432
"66",1060,110,0.431,0.4255
"67",10,160,0.5335,0.5405
"68",60,160,0.5325,0.54
"69",110,160,0.5565,0.5515
"70",160,160,0.5855,0.5855
"71",210,160,0.545,0.542
"72",260,160,0.5835,0.574
"73",310,160,0.561,0.5565
"74",360,160,0.5905,0.5865
"75",410,160,0.5255,0.52
"76",460,160,0.592,0.5875
"77",510,160,0.542,0.5445
"78",560,160,0.551,0.5585
"79",610,160,0.5475,0.55
"80",660,160,0.5315,0.5345
"81",710,160,0.5735,0.5775
"82",760,160,0.592,0.5875
"83",810,160,0.5395,0.5435
"84",860,160,0.5565,0.562
"85",910,160,0.555,0.5635
"86",960,160,0.5715,0.5665
"87",1010,160,0.567,0.553
"88",1060,160,0.574,0.5715
"89",10,210,0.6565,0.6515
"90",60,210,0.6745,0.675
"91",110,210,0.6675,0.667
"92",160,210,0.6575,0.6615
"93",210,210,0.668,0.668
"94",260,210,0.684,0.684
"95",310,210,0.6375,0.635
"96",360,210,0.663,0.6645
"97",410,210,0.675,0.6755
"98",460,210,0.673,0.6775
"99",510,210,0.6385,0.638
"100",560,210,0.6435,0.6405
"101",610,210,0.6615,0.6615
"102",660,210,0.693,0.6985
"103",710,210,0.662,0.6655
"104",760,210,0.675,0.674
"105",810,210,0.6435,0.641
"106",860,210,0.651,0.6475
"107",910,210,0.6685,0.6665
"108",960,210,0.6765,0.678
"109",1010,210,0.6355,0.633
"110",1060,210,0.647,0.6565
"111",10,260,0.7405,0.738
"112",60,260,0.726,0.7195
"113",110,260,0.7385,0.74
"114",160,260,0.751,0.746
"115",210,260,0.736,0.737
"116",260,260,0.738,0.738
"117",310,260,0.7455,0.7445
"118",360,260,0.734,0.7315
"119",410,260,0.757,0.7545
"120",460,260,0.7555,0.76
"121",510,260,0.738,0.74
"122",560,260,0.7675,0.766
"123",610,260,0.749,0.751
"124",660,260,0.7395,0.7405
"125",710,260,0.7205,0.7215
"126",760,260,0.7395,0.7425
"127",810,260,0.7565,0.758
"128",860,260,0.7225,0.724
"129",910,260,0.76,0.764
"130",960,260,0.739,0.739
"131",1010,260,0.7505,0.748
"132",1060,260,0.704,0.7045
"133",10,310,0.7995,0.806
"134",60,310,0.8035,0.8035
"135",110,310,0.8025,0.8035
"136",160,310,0.7995,0.7995
"137",210,310,0.794,0.793
"138",260,310,0.814,0.814
"139",310,310,0.8075,0.8075
"140",360,310,0.8035,0.804
"141",410,310,0.8045,0.804
"142",460,310,0.7985,0.798
"143",510,310,0.815,0.817
"144",560,310,0.7915,0.789
"145",610,310,0.8305,0.8315
"146",660,310,0.8055,0.8045
"147",710,310,0.809,0.807
"148",760,310,0.7875,0.7865
"149",810,310,0.81,0.8125
"150",860,310,0.79,0.79
"151",910,310,0.8165,0.814
"152",960,310,0.7945,0.7955
"153",1010,310,0.7975,0.7975
"154",1060,310,0.785,0.7885
"155",10,360,0.8545,0.856
"156",60,360,0.828,0.8285
"157",110,360,0.87,0.8705
"158",160,360,0.833,0.832
"159",210,360,0.8705,0.869
"160",260,360,0.843,0.843
"161",310,360,0.8595,0.859
"162",360,360,0.851,0.851
"163",410,360,0.866,0.866
"164",460,360,0.851,0.8505
"165",510,360,0.8485,0.8475
"166",560,360,0.844,0.844
"167",610,360,0.8485,0.8485
"168",660,360,0.8605,0.859
"169",710,360,0.85,0.85
"170",760,360,0.8435,0.8435
"171",810,360,0.8655,0.864
"172",860,360,0.8575,0.856
"173",910,360,0.853,0.8535
"174",960,360,0.8585,0.8585
"175",1010,360,0.843,0.8455
"176",1060,360,0.8575,0.858
